date,sku,sales
2023-02-09,A,50
2023-02-09,B,200
2023-02-09,C,10
2023-02-10,A,50
2023-02-10,B,200
2023-02-10,C,10
2023-02-11,A,50
2023-02-11,B,200
2023-02-11,C,10
2023-02-12,A,50
2023-02-12,B,200
2023-02-12,C,10
2023-02-13,A,50
2023-02-13,B,200
2023-02-13,C,10
2023-02-14,A,50
2023-02-14,B,200
2023-02-14,C,10
2023-02-15,A,50
2023-02-15,B,200
2023-02-15,C,10
2023-02-16,A,50
2023-02-16,B,200
2023-02-16,C,10
2023-02-17,A,50
2023-02-17,B,200
2023-02-17,C,10
2023-02-18,A,50
2023-02-18,B,200
2023-02-18,C,10
2023-02-19,A,50
2023-02-19,B,200
2023-02-19,C,10
2023-02-20,A,50
2023-02-20,B,200
2023-02-20,C,10
2023-02-21,A,50
2023-02-21,B,200
2023-02-21,C,10
2023-02-22,A,50
2023-02-22,B,200
2023-02-22,C,10
2023-02-23,A,50
2023-02-23,B,200
2023-02-23,C,10
2023-02-24,A,50
2023-02-24,B,200
2023-02-24,C,10
2023-02-25,A,50
2023-02-25,B,200
2023-02-25,C,10
2023-02-26,A,50
2023-02-26,B,200
2023-02-26,C,10
2023-02-27,A,50
2023-02-27,B,200
2023-02-27,C,10
2023-02-28,A,50
2023-02-28,B,200
2023-02-28,C,10
2023-03-01,A,50
2023-03-01,B,200
2023-03-01,C,10
2023-03-02,A,5000
2023-03-02,B,200
2023-03-02,C,10
2023-03-03,A,50
2023-03-03,B,200
2023-03-03,C,10
2023-03-04,A,50
2023-03-04,B,200
2023-03-04,C,10
2023-03-05,A,50
2023-03-05,B,200
2023-03-05,C,10
2023-03-06,A,50
2023-03-06,B,200
2023-03-06,C,10
2023-03-07,A,50
2023-03-07,B,200
2023-03-07,C,10
2023-03-08,A,50
2023-03-08,B,200
2023-03-08,C,10
2023-03-09,A,50
2023-03-09,B,200
2023-03-09,C,10
2023-03-10,A,50
2023-03-10,B,200
2023-03-10,C,10
2023-03-11,A,50
2023-03-11,B,200
2023-03-11,C,10
2023-03-12,A,50
2023-03-12,B,200
2023-03-12,C,10
2023-03-13,A,50
2023-03-13,B,200
2023-03-13,C,10
2023-03-14,A,50
2023-03-14,B,200
2023-03-14,C,10
2023-03-15,A,50
2023-03-15,B,200
2023-03-15,C,10
2023-03-16,A,50
2023-03-16,B,200
2023-03-16,C,10
2023-03-17,A,50
2023-03-17,B,200
2023-03-17,C,10
2023-03-18,A,50
2023-03-18,B,200
2023-03-18,C,10
2023-03-19,A,50
2023-03-19,B,200
2023-03-19,C,10
2023-03-20,A,50
2023-03-20,B,200
2023-03-20,C,10
2023-03-21,A,50
2023-03-21,B,200
2023-03-21,C,10
2023-03-22,A,50
2023-03-22,B,200
2023-03-22,C,10
2023-03-23,A,50
2023-03-23,B,200
2023-03-23,C,10
2023-03-24,A,50
2023-03-24,B,200
2023-03-24,C,10
2023-03-25,A,50
2023-03-25,B,200
2023-03-25,C,10
2023-03-26,A,50
2023-03-26,B,200
2023-03-26,C,10
2023-03-27,A,50
2023-03-27,B,200
2023-03-27,C,10
2023-03-28,A,50
2023-03-28,B,200
2023-03-28,C,10
2023-03-29,A,50
2023-03-29,B,200
2023-03-29,C,10
2023-03-30,A,50
2023-03-30,B,200
2023-03-30,C,10
2023-03-31,A,50
2023-03-31,B,200
2023-03-31,C,10
