sku,date,target,categoria,inventario_disponible,precio_unitario,promocion_activa
SKU-658,2026-01-30,499.24,Deportes,1343,114.21,True
SKU-854,2026-01-31,362.02,Hogar,437,74.37,False
SKU-858,2026-01-31,497.76,Hogar,905,90.96,False
SKU-242,2026-02-01,203.94,Electrónica,1471,67.03,True
SKU-350,2026-02-02,103.3,Moda,1360,63.05,True
SKU-214,2026-02-03,49.25,Hogar,481,50.31,True
SKU-704,2026-02-03,146.49,Moda,1135,41.77,False
SKU-859,2026-02-04,492.24,Moda,615,33.43,False
SKU-858,2026-02-07,432.22,Moda,836,77.08,False
SKU-204,2026-02-08,34.79,Electrónica,1387,12.39,False
SKU-195,2026-02-09,301.31,Hogar,501,29.34,False
SKU-858,2026-02-09,479.09,Hogar,904,53.19,True
SKU-658,2026-02-11,492.8,Hogar,1187,5.68,True
SKU-658,2026-02-13,207.28,Electrónica,633,93.07,False
SKU-854,2026-02-13,164.93,Hogar,1012,79.77,False
SKU-350,2026-02-16,217.27,Deportes,952,114.64,False
SKU-214,2026-02-17,91.49,Hogar,1122,109.06,False
SKU-658,2026-02-17,266.16,Electrónica,932,91.48,False
SKU-704,2026-02-18,289.81,Moda,403,114.25,False
SKU-242,2026-02-19,468.4,Hogar,1373,73.48,False
SKU-792,2026-02-21,313.5,Deportes,973,42.59,False
SKU-328,2026-02-24,337.8,Electrónica,1102,97.16,False
SKU-792,2026-02-24,340.85,Moda,460,78.92,True
SKU-858,2026-02-25,131.84,Electrónica,668,36.58,False
SKU-704,2026-02-26,468.01,Moda,848,100.67,False
SKU-854,2026-02-27,360.93,Deportes,1178,14.42,False
SKU-854,2026-02-28,229.82,Moda,1427,37.86,False
SKU-854,2026-03-01,394.46,Electrónica,883,75.46,True
SKU-130,2026-03-02,427.83,Deportes,1268,19.68,False
SKU-130,2026-03-04,293.8,Moda,1349,8.34,True
SKU-854,2026-03-04,139.95,Hogar,1242,45.45,False
SKU-130,2026-03-06,132.41,Hogar,260,67.12,True
SKU-658,2026-03-06,227.13,Deportes,861,31.6,True
SKU-858,2026-03-06,419.65,Electrónica,1260,67.4,False
SKU-381,2026-03-08,110.09,Moda,1289,34.01,False
SKU-125,2026-03-09,206.51,Moda,587,103.52,False
SKU-242,2026-03-09,101.05,Hogar,1377,69.91,True
SKU-754,2026-03-09,405.67,Hogar,143,87.72,True
SKU-350,2026-03-10,376.51,Hogar,581,83.1,True
SKU-792,2026-03-10,339.95,Deportes,1474,34.81,False
SKU-204,2026-03-11,114.74,Moda,622,84.99,True
SKU-854,2026-03-11,68.74,Hogar,301,58.1,True
SKU-189,2026-03-12,57.5,Moda,676,100.52,True
SKU-195,2026-03-12,234.56,Electrónica,302,91.74,True
SKU-242,2026-03-12,87.14,Electrónica,686,76.56,False
SKU-125,2026-03-14,85.85,Deportes,1046,30.36,False
SKU-189,2026-03-17,45.55,Electrónica,499,79.95,True
SKU-858,2026-03-17,498.09,Moda,1408,27.93,False
SKU-130,2026-03-18,114.98,Moda,1406,81.77,True
SKU-195,2026-03-18,241.61,Electrónica,745,107.51,False
SKU-859,2026-03-18,195.7,Moda,880,48.74,False
SKU-195,2026-03-19,484.81,Moda,1165,52.81,False
SKU-214,2026-03-19,301.57,Deportes,635,8.12,False
SKU-125,2026-03-22,441.62,Hogar,360,69.86,False
SKU-130,2026-03-22,279.66,Electrónica,776,86.24,False
SKU-323,2026-03-22,431.22,Hogar,893,33.66,True
SKU-323,2026-03-23,499.65,Hogar,356,51.87,False
SKU-125,2026-03-24,58.22,Electrónica,1038,78.33,True
SKU-532,2026-03-25,296.0,Moda,149,48.6,False
SKU-854,2026-03-26,256.4,Electrónica,1296,58.75,True
SKU-328,2026-03-27,215.42,Moda,1251,92.54,False
SKU-130,2026-03-29,126.62,Moda,1064,57.49,True
SKU-328,2026-03-29,367.25,Moda,255,59.59,False
SKU-854,2026-03-29,217.55,Moda,642,108.18,True
SKU-125,2026-03-30,446.24,Hogar,50,10.78,False
SKU-532,2026-04-01,467.3,Deportes,448,81.99,True
