sku,date,sales
SKU_A,2025-03-31,104.35
SKU_B,2025-01-01,97.52
SKU_B,2025-01-02,100.55
SKU_B,2025-01-03,98.88
SKU_B,2025-01-04,117.38
SKU_B,2025-01-05,102.62
SKU_B,2025-01-06,111.96
SKU_B,2025-01-07,106.8
SKU_B,2025-01-08,108.41
SKU_B,2025-01-09,112.5
SKU_B,2025-01-10,106.11
SKU_B,2025-01-11,109.75
SKU_B,2025-01-12,112.06
SKU_B,2025-01-13,109.31
SKU_B,2025-01-14,109.25
SKU_B,2025-01-15,116.54
SKU_B,2025-01-16,115.68
SKU_B,2025-01-17,109.18
SKU_B,2025-01-18,109.75
SKU_B,2025-01-19,114.05
SKU_B,2025-01-20,102.29
SKU_B,2025-01-21,108.16
SKU_B,2025-01-22,113.46
SKU_B,2025-01-23,112.15
SKU_B,2025-01-24,95.25
SKU_B,2025-01-25,98.72
SKU_B,2025-01-26,101.26
SKU_B,2025-01-27,94.19
SKU_B,2025-01-28,95.82
SKU_B,2025-01-29,97.08
SKU_B,2025-01-30,102.53
SKU_B,2025-01-31,96.21
SKU_B,2025-02-01,96.92
SKU_B,2025-02-02,97.95
SKU_B,2025-02-03,98.12
SKU_B,2025-02-04,96.32
SKU_B,2025-02-05,91.87
SKU_B,2025-02-06,100.47
SKU_B,2025-02-07,99.87
SKU_B,2025-02-08,94.77
SKU_B,2025-02-09,97.59
SKU_B,2025-02-10,105.16
SKU_B,2025-02-11,105.44
SKU_B,2025-02-12,101.62
SKU_B,2025-02-13,104.97
SKU_B,2025-02-14,107.05
SKU_B,2025-02-15,111.67
SKU_B,2025-02-16,115.74
SKU_B,2025-02-17,112.49
SKU_B,2025-02-18,118.31
SKU_B,2025-02-19,118.41
SKU_B,2025-02-20,116.9
SKU_B,2025-02-21,111.3
SKU_B,2025-02-22,113.8
SKU_B,2025-02-23,121.52
SKU_B,2025-02-24,112.16
SKU_B,2025-02-25,119.73
SKU_B,2025-02-26,123.3
SKU_B,2025-02-27,119.75
SKU_B,2025-02-28,116.38
SKU_B,2025-03-01,114.86
SKU_B,2025-03-02,120.8
SKU_B,2025-03-03,118.56
SKU_B,2025-03-04,114.53
SKU_B,2025-03-05,118.83
SKU_B,2025-03-06,116.8
SKU_B,2025-03-07,119.29
SKU_B,2025-03-08,113.13
SKU_B,2025-03-09,108.93
SKU_B,2025-03-10,107.77
SKU_B,2025-03-11,99.42
SKU_B,2025-03-12,106.66
SKU_B,2025-03-13,105.01
SKU_B,2025-03-14,98.9
SKU_B,2025-03-15,103.41
SKU_B,2025-03-16,108.36
SKU_B,2025-03-17,99.7
SKU_B,2025-03-18,98.66
SKU_B,2025-03-19,106.97
SKU_B,2025-03-20,105.35
SKU_B,2025-03-21,115.51
SKU_B,2025-03-22,98.65
SKU_B,2025-03-23,107.64
SKU_B,2025-03-24,107.04
SKU_B,2025-03-25,107.17
SKU_B,2025-03-26,111.88
SKU_B,2025-03-27,109.52
SKU_B,2025-03-28,103.38
SKU_B,2025-03-29,109.29
SKU_B,2025-03-30,119.71
SKU_B,2025-03-31,120.51
SKU_C,2025-01-01,107.98
SKU_C,2025-01-02,103.29
SKU_C,2025-01-03,117.04
SKU_C,2025-01-04,114.19
SKU_C,2025-01-05,106.88
SKU_C,2025-01-06,114.33
SKU_C,2025-01-07,117.77
SKU_C,2025-01-08,119.49
SKU_C,2025-01-09,117.79
SKU_C,2025-01-10,120.31
SKU_C,2025-01-11,127.87
SKU_C,2025-01-12,125.84
SKU_C,2025-01-13,115.9
SKU_C,2025-01-14,117.16
SKU_C,2025-01-15,118.75
SKU_C,2025-01-16,111.66
SKU_C,2025-01-17,112.59
SKU_C,2025-01-18,110.6
SKU_C,2025-01-19,111.51
SKU_C,2025-01-20,120.55
SKU_C,2025-01-21,110.39
SKU_C,2025-01-22,108.45
SKU_C,2025-01-23,114.82
SKU_C,2025-01-24,108.22
SKU_C,2025-01-25,110.44
SKU_C,2025-01-26,104.67
SKU_C,2025-01-27,99.27
SKU_C,2025-01-28,107.36
SKU_C,2025-01-29,98.43
SKU_C,2025-01-30,101.89
SKU_C,2025-01-31,100.46
SKU_C,2025-02-01,103.83
SKU_C,2025-02-02,100.68
SKU_C,2025-02-03,102.44
SKU_C,2025-02-04,96.96
SKU_C,2025-02-05,111.66
SKU_C,2025-02-06,99.51
SKU_C,2025-02-07,109.95
SKU_C,2025-02-08,106.76
SKU_C,2025-02-09,107.88
SKU_C,2025-02-10,110.03
SKU_C,2025-02-11,102.5
SKU_C,2025-02-12,115.37
SKU_C,2025-02-13,111.01
SKU_C,2025-02-14,119.47
SKU_C,2025-02-15,115.59
SKU_C,2025-02-16,116.24
SKU_C,2025-02-17,114.06
SKU_C,2025-02-18,117.57
SKU_C,2025-02-19,123.61
SKU_C,2025-02-20,117.84
SKU_C,2025-02-21,116.12
SKU_C,2025-02-22,121.48
SKU_C,2025-02-23,128.91
SKU_C,2025-02-24,133.13
SKU_C,2025-02-25,123.54
SKU_C,2025-02-26,120.1
SKU_C,2025-02-27,124.76
SKU_C,2025-02-28,126.52
SKU_C,2025-03-01,127.56
SKU_C,2025-03-02,133.07
SKU_C,2025-03-03,124.58
SKU_C,2025-03-04,129.3
SKU_C,2025-03-05,119.72
SKU_C,2025-03-06,120.73
SKU_C,2025-03-07,116.76
SKU_C,2025-03-08,115.14
SKU_C,2025-03-09,115.54
SKU_C,2025-03-10,114.22
SKU_C,2025-03-11,111.74
SKU_C,2025-03-12,110.86
SKU_C,2025-03-13,116.46
SKU_C,2025-03-14,119.67
SKU_C,2025-03-15,108.52
SKU_C,2025-03-16,108.69
SKU_C,2025-03-17,111.74
SKU_C,2025-03-18,122.24
SKU_C,2025-03-19,109.89
SKU_C,2025-03-20,113.7
SKU_C,2025-03-21,116.45
SKU_C,2025-03-22,112.3
SKU_C,2025-03-23,115.47
SKU_C,2025-03-24,115.2
SKU_C,2025-03-25,118.07
SKU_C,2025-03-26,111.1
SKU_C,2025-03-27,117.46
SKU_C,2025-03-28,120.06
SKU_C,2025-03-29,121.54
SKU_C,2025-03-30,125.8
SKU_C,2025-03-31,124.61
