sku,date,target,categoria,inventario_disponible,precio_unitario,promocion_activa,costo_envio,unidades_vendidas,puntuacion_producto,clicks_anuncio
SKU-858,2026-01-31,497.76,Hogar,905,90.96,0,9.69,8,3.7,384
SKU-242,2026-02-01,203.94,Electrónica,1471,67.03,1,8.42,25,3.2,68
SKU-350,2026-02-02,103.3,Moda,1360,63.05,1,13.79,32,2.0,35
SKU-214,2026-02-03,49.25,Hogar,481,50.31,1,4.78,30,2.0,281
SKU-704,2026-02-03,146.49,Moda,1135,41.77,0,12.45,1,1.4,335
SKU-859,2026-02-04,492.24,Moda,615,33.43,0,14.07,30,2.5,472
SKU-858,2026-02-07,432.22,Moda,836,77.08,0,20.94,21,1.6,127
SKU-204,2026-02-08,34.79,Electrónica,1387,12.39,0,9.89,13,4.5,379
SKU-195,2026-02-09,301.31,Hogar,501,29.34,0,12.15,46,3.0,432
SKU-858,2026-02-09,479.09,Hogar,904,53.19,1,4.2,32,1.9,196
SKU-658,2026-02-11,492.8,Hogar,1187,5.68,1,15.37,36,3.5,168
SKU-658,2026-02-13,207.28,Electrónica,633,93.07,0,18.26,21,4.2,407
SKU-854,2026-02-13,164.93,Hogar,1012,79.77,0,16.12,33,5.0,82
SKU-350,2026-02-16,217.27,Deportes,952,114.64,0,13.6,45,3.5,306
SKU-214,2026-02-17,91.49,Hogar,1122,109.06,0,5.63,41,2.6,331
SKU-658,2026-02-17,266.16,Electrónica,932,91.48,0,16.36,31,2.8,161
SKU-704,2026-02-18,289.81,Moda,403,114.25,0,19.69,11,2.5,452
SKU-242,2026-02-19,468.4,Hogar,1373,73.48,0,17.21,7,4.1,299
SKU-792,2026-02-21,313.5,Deportes,973,42.59,0,9.35,18,3.3,493
SKU-328,2026-02-24,337.8,Electrónica,1102,97.16,0,4.67,22,2.8,212
SKU-792,2026-02-24,340.85,Moda,460,78.92,1,21.22,10,1.7,149
SKU-858,2026-02-25,131.84,Electrónica,668,36.58,0,23.91,8,4.9,320
SKU-704,2026-02-26,468.01,Moda,848,100.67,0,22.62,16,3.7,392
SKU-854,2026-02-27,360.93,Deportes,1178,14.42,0,16.48,36,2.9,183
SKU-854,2026-02-28,229.82,Moda,1427,37.86,0,8.84,26,4.9,190
SKU-854,2026-03-01,394.46,Electrónica,883,75.46,1,3.76,27,4.5,408
SKU-130,2026-03-02,427.83,Deportes,1268,19.68,0,6.7,6,1.2,286
SKU-130,2026-03-04,293.8,Moda,1349,8.34,1,20.51,11,3.8,392
SKU-854,2026-03-04,139.95,Hogar,1242,45.45,0,6.87,9,4.5,413
SKU-130,2026-03-06,132.41,Hogar,260,67.12,1,16.32,43,4.4,107
SKU-658,2026-03-06,227.13,Deportes,861,31.6,1,20.18,30,4.6,138
SKU-858,2026-03-06,419.65,Electrónica,1260,67.4,0,12.72,24,1.3,347
SKU-381,2026-03-08,110.09,Moda,1289,34.01,0,19.29,30,4.6,455
SKU-125,2026-03-09,206.51,Moda,587,103.52,0,9.19,4,3.7,331
SKU-242,2026-03-09,101.05,Hogar,1377,69.91,1,20.54,8,2.6,266
SKU-754,2026-03-09,405.67,Hogar,143,87.72,1,9.61,45,4.9,391
SKU-350,2026-03-10,376.51,Hogar,581,83.1,1,20.78,36,1.7,99
SKU-792,2026-03-10,339.95,Deportes,1474,34.81,0,4.9,3,4.7,472
SKU-204,2026-03-11,114.74,Moda,622,84.99,1,16.95,49,2.3,472
SKU-854,2026-03-11,68.74,Hogar,301,58.1,1,12.94,46,3.4,94
SKU-189,2026-03-12,57.5,Moda,676,100.52,1,10.83,19,2.5,476
SKU-195,2026-03-12,234.56,Electrónica,302,91.74,1,21.16,5,3.8,450
SKU-242,2026-03-12,87.14,Electrónica,686,76.56,0,9.21,15,2.4,458
SKU-125,2026-03-14,85.85,Deportes,1046,30.36,0,5.03,39,1.4,475
SKU-189,2026-03-17,45.55,Electrónica,499,79.95,1,19.94,9,4.8,125
SKU-858,2026-03-17,498.09,Moda,1408,27.93,0,19.91,50,2.2,380
SKU-130,2026-03-18,114.98,Moda,1406,81.77,1,9.78,21,2.9,150
SKU-195,2026-03-18,241.61,Electrónica,745,107.51,0,5.71,22,4.7,361
SKU-859,2026-03-18,195.7,Moda,880,48.74,0,8.66,18,4.8,30
SKU-195,2026-03-19,484.81,Moda,1165,52.81,0,15.73,40,4.1,358
SKU-214,2026-03-19,301.57,Deportes,635,8.12,0,16.29,42,3.7,477
SKU-125,2026-03-22,441.62,Hogar,360,69.86,0,24.93,1,2.4,295
SKU-130,2026-03-22,279.66,Electrónica,776,86.24,0,23.03,4,1.6,396
SKU-323,2026-03-22,431.22,Hogar,893,33.66,1,18.72,31,3.3,21
SKU-323,2026-03-23,499.65,Hogar,356,51.87,0,16.15,34,4.9,402
SKU-125,2026-03-24,58.22,Electrónica,1038,78.33,1,15.91,6,5.0,156
SKU-532,2026-03-25,296.0,Moda,149,48.6,0,12.91,31,3.6,422
SKU-854,2026-03-26,256.4,Electrónica,1296,58.75,1,8.33,27,2.3,412
SKU-328,2026-03-27,215.42,Moda,1251,92.54,0,15.11,27,1.9,256
SKU-130,2026-03-29,126.62,Moda,1064,57.49,1,4.48,27,4.5,347
SKU-328,2026-03-29,367.25,Moda,255,59.59,0,5.95,36,2.9,436
SKU-854,2026-03-29,217.55,Moda,642,108.18,1,8.93,26,2.6,391
SKU-125,2026-03-30,446.24,Hogar,50,10.78,0,13.58,19,2.5,141
SKU-532,2026-04-01,467.3,Deportes,448,81.99,1,9.48,18,2.5,421
